taxon	min_age	max_age
Proboscidea	0	59.2
Cornwallius_sookensis_Desmo	23.03	28.1
Prorastomus_sirenoides	41.3	47.8
Pezosiren_portelli	41.3	47.8
Sobrarbesiren_cardieli	41.3	47.8
Protosiren_smithae	33.9	47.8
Eotheriodes_aegyptiacum	41.3	47.8
Prototherium_ausetanum	38	41.3
Eosiren_libyca	33.9	38
Anomotherium_langewieschei	23.03	33.9
Miosiren_kocki	15.97	20.44
Potamosiren_madgalenensis	11	20.44
Ribodon_limbatus	7.246	11.62
Trichechus_hesperamazonicus	0	0.129
Trichechus_inunguis	0	0.0117
Kaupitherium_spp	28.1	33.9
Lentiarenium_cristolii	5.333	28.1
Priscosiren_atlantica	23.03	28.1
Caribosiren_turneri	23.03	28.4
Metaxytherium_krahuletzi	7.246	20.44
Metaxytherium_albifontanum	23.03	28.1
Metaxytherium_floridanum	9.4	12.5
Metaxytherium_serresii	3.6	20.44
Metaxytherium_arctodites	13.82	15.97
Dusisiren_reinharti	11.62	15.97
Dusisiren_jordani	5.333	11.608
Hydrodamalis_cuestae	2.588	10.3
Hydrodamalis_gigas	0	0.3
Crenatosiren_olseni	23.03	33.9
Nanosiren_spp	4.9	20.43
Dugong_dugon	0	0.01177
Corystosiren_varguezi	4.9	5.333
Callistosiren_boriquensis	23.03	28.1
Kutchisiren_cylindrica	15.97	23.03
Rytiodus_heali	7.246	11.62
Rytiodus_capgrandi	20.44	23.03
Bharatisiren_indica	23.03	28.1
Bharatisiren_kachchhensis	20.44	23.03
Domningia_sodhae	20.44	23.03
Dioplotherium_manigaulti	13.82	28.1
Xenosiren_yucateca	4.9	10.3
Culebratherium_alemani	15.97	23.03
Dioplotherium_allisoni	4.9	16.3
