Iteration	Posterior	Likelihood	Prior	age_extant	branch_rates	diversification	extinction_rate	fossil_samp_rate	num_samp_anc	origin_time	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	t[27]	t[28]	t[29]	t[30]	t[31]	t[32]	t[33]	t[34]	t[35]	t[36]	t[37]	t[38]	turnover
0	-3745.116	-3319.455	-425.6604	60.86338	0.1016179	0.03869941	0.04450692	0.08571485	0	62.32695	0.08320633	41.3	13.82	23.03	23.03	23.03	11	4.9	15.97	7.246	11.62	13.82	7.246	5.333	9.4	7.246	2.588	4.9	4.9	4.9	3.6	20.44	20.44	20.44	15.97	15.97	23.03	23.03	23.03	5.333	33.9	23.03	28.1	23.03	38	41.3	41.3	41.3	33.9	0.5348982
100	-2068.673	-1718.578	-350.0951	54.60048	0.01528219	-0.005725874	0.2754083	0.04059516	8	59.99418	0.2696824	41.3	14.6569	23.579	25.2096	23.03	11.6731	20.3615	15.97	9.98914	11.62	14.8311	9.82592	7.6945	11.6159	10.5921	4.73411	4.9	8.46535	9.46591	14.3785	20.6919	20.44	20.44	21.8566	20.9968	23.03	23.03	23.03	22.4448	36.5285	25.5492	29.9628	23.03	39.8338	41.3	41.3	41.3298	37.4572	1.021232
200	-2004.033	-1654.649	-349.3832	54.87672	0.013852	-0.004284977	0.2687012	0.06575816	10	63.14973	0.2644162	46.7168	15.1044	24.1281	27.0548	27.0413	11.1509	17.7639	17.9985	16.6821	13.3604	14.6735	8.46795	10.8391	12.1889	11.3051	3.8189	4.90608	8.35763	12.5473	10.376	20.6919	20.5898	20.55	19.7094	18.9206	23.3077	24.3966	23.03	27.3477	37.8753	25.1694	29.9628	23.03	39.5766	44.9715	41.3	44.9413	44.8442	1.016205
300	-1997.653	-1650.058	-347.5954	57.94491	0.01235524	-0.0008450835	0.1620739	0.08872724	14	64.79209	0.1612288	46.7168	15.0505	24.1281	27.1137	24.1893	18.9275	8.27917	19.3858	17.6456	12.8835	14.6735	8.98619	8.38446	11.5793	10.8482	4.70835	4.90608	5.3797	11.5531	10.195	21.2897	22.3182	21.3689	16.259	18.8741	25.2782	24.3966	23.03	27.3477	37.7701	25.3962	29.9628	23.03	39.5766	45.9955	43.1417	45.5544	42.1625	1.005242
400	-1991.003	-1648.613	-342.3897	56.68282	0.01236267	-0.02144538	0.1609013	0.07420341	14	65.92653	0.1394559	47.631	14.1902	23.3867	27.1671	24.4754	12.2759	15.5895	18.6855	19.4911	15.6547	15.5148	7.27653	9.81385	11.5793	9.75988	5.98765	4.90608	10.293	13.3956	7.56041	21.2897	22.1312	21.6484	16.259	19.4013	27.3335	24.5527	23.03	27.0819	36.1841	28.9127	32.3694	23.03	39.025	45.0264	44.1414	41.4698	37.6916	1.153779
500	-1995.154	-1657.034	-338.1196	55.52893	0.01424558	-0.01344364	0.1449062	0.05224853	16	64.79911	0.1314625	46.9724	14.1902	23.2634	27.7009	25.1158	11.8989	19.4894	18.3243	19.4911	12.5233	15.5148	8.18847	8.69698	11.5117	11.3582	5.132	4.94969	9.01269	11.4709	7.39298	21.0468	22.1312	22.2452	16.259	17.8171	26.6826	24.5527	23.03	27.5577	36.777	25.0275	31.6402	24.5269	38.801	45.0264	42.1095	43.2345	38.0036	1.102262
600	-1999.22	-1660.011	-339.2084	55.89446	0.01674456	0.05457058	0.1312252	0.05708845	15	66.90734	0.1857958	46.4679	16.4183	23.0794	27.063	25.1158	14.7166	13.9902	18.3075	18.6521	13.0411	15.5148	11.4488	11.0506	11.5117	8.34479	4.68276	4.94969	9.01709	13.8652	10.2029	20.9194	22.0154	21.8829	16.1222	21.5871	26.618	25.9565	23.6257	26.1376	37.3236	29.1784	31.6402	24.5269	38.693	45.7654	42.3335	45.7208	37.1712	0.7062873
700	-1998.523	-1657.614	-340.9088	54.71553	0.01291794	0.005844573	0.2133562	0.06933828	15	67.12555	0.2192008	46.3212	13.9091	23.0319	26.1785	26.1886	12.6412	19.1648	18.9982	20.4096	14.1089	15.5148	7.63817	6.47886	11.4476	8.90444	4.62156	5.27759	7.79427	10.0573	10.7598	20.4759	22.0154	21.5857	16.2951	20.3191	27.9295	24.7386	23.6257	27.2664	37.3236	29.4297	31.6402	27.6197	39.1375	42.0338	47.7885	42.6274	40.6581	0.9733369
800	-1999.691	-1654.348	-345.3433	54.87994	0.01429613	-0.03266175	0.2154682	0.04525723	14	65.39245	0.1828065	46.8072	15.9582	23.3121	27.5313	27.2162	12.4705	11.1996	18.9982	20.2158	11.9991	13.9624	7.35834	7.59479	12.1228	11.173	3.88939	5.27759	7.78733	8.34524	7.39864	20.5491	22.439	21.9346	16.1072	16.3654	27.8024	25.0213	23.6257	27.2664	37.0115	23.5707	33.3227	27.6197	39.5345	42.0338	42.1086	42.6274	40.2599	1.178668
900	-1987.789	-1656.103	-331.6861	55.9545	0.015908	0.02488691	0.1564823	0.08658827	18	64.01669	0.1813692	46.8072	15.776	23.8326	26.6556	25.2331	11.0708	12.6737	16.0918	20.2158	13.3248	13.9624	7.52543	8.53041	12.424	10.4001	4.99876	5.27759	8.80252	10.6973	11.434	21.3691	22.0209	22.7576	17.6341	22.7702	27.2782	24.2554	23.6257	27.7591	36.8599	25.0127	31.6007	26.0044	39.5345	47.7714	44.8851	43.72	37.2231	0.8627832
1000	-1992.85	-1656.625	-336.2249	53.82994	0.0153898	0.03088448	0.1366186	0.08935367	16	60.11108	0.1675031	46.8072	17.2482	24.4986	26.9436	25.2331	13.295	17.3812	19.5631	20.2158	12.6428	13.9624	9.82315	8.4388	12.424	7.63477	3.19659	5.11838	8.67465	12.1399	11.189	22.605	22.0209	21.7308	16.8226	16.2144	27.081	24.2554	23.5168	27.7591	37.3507	27.2051	32.8769	26.0044	39.5345	44.2666	42.7253	42.56	36.882	0.8156185
1100	-1989.62	-1651.135	-338.4853	55.81558	0.01441635	0.006981073	0.1590966	0.0765961	16	61.13464	0.1660776	46.1058	13.9817	23.8685	26.9436	25.0958	11.4346	15.4604	17.5062	20.2158	13.1835	13.8844	7.37897	8.99507	12.0855	10.3925	3.98257	5.11838	8.84093	14.2764	9.10001	20.7354	20.752	22.5637	20.3816	20.5108	25.8902	24.0014	23.5168	27.7591	37.1477	30.0222	33.8614	27.7813	40.1271	44.2666	43.1087	45.6047	36.882	0.957965
1200	-1991.65	-1652.747	-338.9029	58.80654	0.01419478	0.01839086	0.1632251	0.06840332	16	64.52413	0.181616	46.2334	15.3607	24.5165	26.7157	25.7934	11.199	19.8145	16.0157	20.4151	13.0617	15.6944	7.37897	7.87993	11.5176	11.3624	4.08584	5.11838	5.38052	16.043	10.4581	21.4853	20.9851	21.3095	17.8157	17.5297	27.9301	24.1832	23.9282	26.8006	37.8125	28.5733	30.9916	27.7813	38.2627	44.2666	41.4321	43.4463	38.3094	0.8987376
